,Unnamed: 0,img,difficulty_score,split
11479,11479,2011_003145,2.768696,train
11465,11465,2011_003091,2.768823,train
1452,1452,2008_002946,2.769051,train
7293,7293,2010_000477,2.769151,train
1397,1397,2008_002835,2.7694240000000003,train
2389,2389,2008_004822,2.769886,train
4549,4549,2009_000435,2.769991,train
11526,11526,2011_003253,2.77,train
3460,3460,2008_007003,2.77,train
4519,4519,2009_000377,2.77,train
6237,6237,2009_003698,2.77,train
8265,8265,2010_002439,2.77,train
6553,6553,2009_004315,2.77,train
7337,7337,2010_000567,2.77,train
9285,9285,2010_004483,2.77,train
2346,2346,2008_004726,2.77,train
8368,8368,2010_002645,2.77,train
4221,4221,2008_008544,2.77,train
1763,1763,2008_003578,2.770105,train
6953,6953,2009_005120,2.770695,train
7324,7324,2010_000541,2.770911,train
8773,8773,2010_003458,2.771012,train
9492,9492,2010_004906,2.771395,train
1682,1682,2008_003420,2.772127,train
4782,4782,2009_000874,2.7722830000000003,train
5389,5389,2009_002056,2.773246,train
3503,3503,2008_007086,2.773769,train
424,424,2008_000858,2.774334,train
555,555,2008_001121,2.774357,train
2906,2906,2008_005875,2.775012,train
937,937,2008_001885,2.775377,train
961,961,2008_001941,2.775528,train
9224,9224,2010_004357,2.776522,train
821,821,2008_001668,2.776563,train
2178,2178,2008_004416,2.777041,train
8559,8559,2010_003025,2.7775380000000003,train
1060,1060,2008_002151,2.777721,train
6214,6214,2009_003655,2.7778110000000003,train
5632,5632,2009_002531,2.7780970000000003,train
632,632,2008_001290,2.77874,train
6659,6659,2009_004535,2.778884,train
8523,8523,2010_002947,2.779847,train
5224,5224,2009_001733,2.78,train
1894,1894,2008_003831,2.78,train
7348,7348,2010_000583,2.78,train
9679,9679,2010_005268,2.78,train
6992,6992,2009_005190,2.78,train
2942,2942,2008_005943,2.78,train
2185,2185,2008_004427,2.78,train
7767,7767,2010_001432,2.78,train
10168,10168,2011_000145,2.78,train
3925,3925,2008_007937,2.78,train
6325,6325,2009_003870,2.78,train
8350,8350,2010_002614,2.78,train
2993,2993,2008_006050,2.78,train
6742,6742,2009_004705,2.78,train
6026,6026,2009_003290,2.78,train
4679,4679,2009_000677,2.78,train
8343,8343,2010_002594,2.780153,train
4359,4359,2009_000052,2.78047,train
1588,1588,2008_003222,2.780644,train
6994,6994,2009_005193,2.780961,train
1122,1122,2008_002269,2.781155,train
981,981,2008_001982,2.7814240000000003,train
2172,2172,2008_004406,2.781931,train
10843,10843,2011_001694,2.782112,train
2245,2245,2008_004540,2.7821990000000003,train
3112,3112,2008_006285,2.782397,train
6556,6556,2009_004319,2.782421,train
6407,6407,2009_004044,2.782568,train
1420,1420,2008_002879,2.783014,train
3222,3222,2008_006517,2.783095,train
3033,3033,2008_006128,2.783975,train
8308,8308,2010_002529,2.784485,train
2966,2966,2008_005997,2.784657,train
4382,4382,2009_000091,2.785244,train
10749,10749,2011_001480,2.785618,train
3944,3944,2008_007975,2.785687,train
1237,1237,2008_002499,2.785923,train
1232,1232,2008_002487,2.787505,train
1826,1826,2008_003704,2.787637,train
2299,2299,2008_004636,2.787811,train
7783,7783,2010_001461,2.78816,train
6228,6228,2009_003685,2.788333,train
2692,2692,2008_005439,2.788448,train
1072,1072,2008_002176,2.788789,train
7952,7952,2010_001806,2.79,train
11081,11081,2011_002211,2.79,train
7632,7632,2010_001159,2.79,train
8056,8056,2010_002019,2.79,train
6586,6586,2009_004382,2.79,train
7092,7092,2010_000082,2.79,train
4558,4558,2009_000452,2.79,train
2334,2334,2008_004704,2.79,train
5695,5695,2009_002645,2.79,train
7188,7188,2010_000270,2.79,train
9929,9929,2010_005753,2.79,train
10349,10349,2011_000542,2.79,train
10481,10481,2011_000850,2.79,train
5777,5777,2009_002803,2.790846,train
2539,2539,2008_005134,2.791062,train
2081,2081,2008_004218,2.79124,train
1291,1291,2008_002622,2.791795,train
129,129,2008_000264,2.7920990000000003,train
5821,5821,2009_002890,2.792338,train
1020,1020,2008_002064,2.792742,train
2520,2520,2008_005092,2.7940150000000004,train
400,400,2008_000808,2.794094,train
1617,1617,2008_003278,2.7949580000000003,train
3931,3931,2008_007947,2.796135,train
2937,2937,2008_005935,2.796696,train
4141,4141,2008_008377,2.797253,train
905,905,2008_001825,2.797779,train
6976,6976,2009_005158,2.7981700000000003,train
1662,1662,2008_003374,2.798223,train
2917,2917,2008_005895,2.798608,train
6759,6759,2009_004737,2.799314,train
9955,9955,2010_005806,2.799677,train
1478,1478,2008_002999,2.799678,train
1632,1632,2008_003305,2.8,train
815,815,2008_001659,2.8,train
8979,8979,2010_003879,2.8,train
1642,1642,2008_003330,2.8,train
265,265,2008_000536,2.8,train
559,559,2008_001134,2.8,train
1033,1033,2008_002093,2.8,train
10525,10525,2011_000973,2.8,train
529,529,2008_001071,2.8,train
361,361,2008_000729,2.8,train
359,359,2008_000726,2.8,train
614,614,2008_001245,2.8,train
357,357,2008_000724,2.8,train
743,743,2008_001514,2.8,train
9257,9257,2010_004428,2.8,train
2968,2968,2008_006002,2.8,train
8554,8554,2010_003015,2.8,train
1501,1501,2008_003048,2.8,train
336,336,2008_000678,2.8,train
1869,1869,2008_003782,2.8,train
10343,10343,2011_000531,2.8,train
1240,1240,2008_002504,2.8,train
9519,9519,2010_004953,2.8,train
7450,7450,2010_000791,2.8006,train
3007,3007,2008_006074,2.800836,train
328,328,2008_000666,2.801531,train
5284,5284,2009_001835,2.802146,train
7027,7027,2009_005262,2.802827,train
59,59,2008_000123,2.803032,train
2564,2564,2008_005186,2.803064,train
6526,6526,2009_004261,2.803327,train
5992,5992,2009_003222,2.803346,train
1658,1658,2008_003361,2.803362,train
3006,3006,2008_006072,2.8033650000000003,train
1307,1307,2008_002652,2.803481,train
1447,1447,2008_002931,2.803603,train
3453,3453,2008_006987,2.803915,train
10070,10070,2010_006023,2.804101,train
9538,9538,2010_004991,2.804153,train
7023,7023,2009_005251,2.804485,train
5879,5879,2009_003005,2.804506,train
2476,2476,2008_005000,2.804925,train
4716,4716,2009_000745,2.805198,train
1108,1108,2008_002239,2.805296,train
776,776,2008_001582,2.805391,train
8763,8763,2010_003429,2.805637,train
6139,6139,2009_003513,2.806021,train
8488,8488,2010_002873,2.806252,train
1132,1132,2008_002292,2.806493,train
634,634,2008_001296,2.807306,train
6858,6858,2009_004929,2.808176,train
1610,1610,2008_003269,2.8082990000000003,train
2286,2286,2008_004616,2.808396,train
2171,2171,2008_004403,2.808617,train
1854,1854,2008_003763,2.808767,train
714,714,2008_001454,2.809482,train
2665,2665,2008_005379,2.809691,train
11470,11470,2011_003111,2.81,train
9652,9652,2010_005215,2.81,train
3364,3364,2008_006811,2.81,train
3747,3747,2008_007587,2.81,train
2903,2903,2008_005871,2.81,train
6678,6678,2009_004565,2.81,train
9704,9704,2010_005317,2.81,train
4778,4778,2009_000865,2.81,train
7088,7088,2010_000075,2.81,train
8362,8362,2010_002631,2.81,train
4437,4437,2009_000201,2.81,train
5752,5752,2009_002754,2.81,train
7535,7535,2010_000971,2.81,train
9367,9367,2010_004656,2.81,train
9406,9406,2010_004733,2.81,train
9479,9479,2010_004874,2.81,train
851,851,2008_001724,2.81,train
5504,5504,2009_002272,2.81,train
1825,1825,2008_003703,2.81,train
6294,6294,2009_003813,2.81,train
3273,3273,2008_006623,2.81,train
4517,4517,2009_000370,2.810077,train
8511,8511,2010_002924,2.810212,train
7170,7170,2010_000241,2.810267,train
2033,2033,2008_004110,2.810749,train
5585,5585,2009_002432,2.811762,train
4033,4033,2008_008169,2.811867,train
384,384,2008_000782,2.812015,train
1565,1565,2008_003167,2.812162,train
2421,2421,2008_004893,2.812394,train
1398,1398,2008_002838,2.812642,train
5508,5508,2009_002282,2.812659,train
5339,5339,2009_001948,2.813482,train
3351,3351,2008_006781,2.814216,train
2192,2192,2008_004438,2.814632,train
1443,1443,2008_002922,2.814914,train
8285,8285,2010_002479,2.8151080000000004,train
6081,6081,2009_003399,2.815214,train
7010,7010,2009_005221,2.815729,train
9120,9120,2010_004157,2.815731,train
5743,5743,2009_002739,2.816049,train
9483,9483,2010_004888,2.816225,train
3592,3592,2008_007265,2.816555,train
465,465,2008_000940,2.8166900000000004,train
7941,7941,2010_001783,2.816814,train
670,670,2008_001374,2.8175830000000004,train
8289,8289,2010_002485,2.817622,train
609,609,2008_001231,2.8183990000000003,train
9997,9997,2010_005885,2.818628,train
5478,5478,2009_002226,2.8191490000000003,train
1648,1648,2008_003338,2.819185,train
3024,3024,2008_006109,2.81936,train
1816,1816,2008_003683,2.819593,train
1650,1650,2008_003343,2.819668,train
3057,3057,2008_006179,2.819914,train
9358,9358,2010_004631,2.82,train
8924,8924,2010_003764,2.82,train
2329,2329,2008_004696,2.82,train
9458,9458,2010_004829,2.82,train
4105,4105,2008_008314,2.82,train
10097,10097,2010_006078,2.82,train
3903,3903,2008_007893,2.82,train
4877,4877,2009_001059,2.82,train
11089,11089,2011_002228,2.82,train
1949,1949,2008_003944,2.82,train
9854,9854,2010_005603,2.82,train
5608,5608,2009_002475,2.82,train
6723,6723,2009_004661,2.82,train
9794,9794,2010_005496,2.82,train
8005,8005,2010_001919,2.82,train
7139,7139,2010_000175,2.82,train
9592,9592,2010_005096,2.82,train
11033,11033,2011_002100,2.82,train
5422,5422,2009_002119,2.82,train
6248,6248,2009_003714,2.82,train
1197,1197,2008_002428,2.82,train
7873,7873,2010_001647,2.82,train
11427,11427,2011_003011,2.82,train
5965,5965,2009_003165,2.82,train
9171,9171,2010_004253,2.82,train
11284,11284,2011_002673,2.820204,train
1407,1407,2008_002856,2.820304,train
2002,2002,2008_004045,2.820411,train
2335,2335,2008_004705,2.820659,train
6424,6424,2009_004084,2.821036,train
3368,3368,2008_006817,2.821577,train
8190,8190,2010_002295,2.8220240000000003,train
488,488,2008_000985,2.822279,train
4874,4874,2009_001055,2.822816,train
8385,8385,2010_002678,2.823029,train
2144,2144,2008_004347,2.823558,train
2090,2090,2008_004242,2.823587,train
331,331,2008_000672,2.82517,train
810,810,2008_001648,2.825263,train
263,263,2008_000533,2.825398,train
8172,8172,2010_002248,2.82598,train
7736,7736,2010_001372,2.826014,train
183,183,2008_000376,2.8267740000000003,train
7232,7232,2010_000362,2.826914,train
2568,2568,2008_005194,2.82758,train
2122,2122,2008_004306,2.827907,train
4743,4743,2009_000796,2.828031,train
2574,2574,2008_005208,2.828599,train
6221,6221,2009_003667,2.828634,train
678,678,2008_001387,2.828865,train
4154,4154,2008_008404,2.83,train
6208,6208,2009_003644,2.83,train
9092,9092,2010_004104,2.83,train
10284,10284,2011_000412,2.83,train
11418,11418,2011_002992,2.83,train
10733,10733,2011_001434,2.83,train
10436,10436,2011_000757,2.83,train
5934,5934,2009_003109,2.83,train
1253,1253,2008_002527,2.83,train
9836,9836,2010_005573,2.83,train
9413,9413,2010_004749,2.83,train
2381,2381,2008_004804,2.83,train
1788,1788,2008_003624,2.83,train
8799,8799,2010_003509,2.83,train
2324,2324,2008_004688,2.83,train
11294,11294,2011_002699,2.83,train
5515,5515,2009_002298,2.83,train
4555,4555,2009_000445,2.83,train
6962,6962,2009_005140,2.83,train
8197,8197,2010_002310,2.83,train
976,976,2008_001971,2.8300490000000003,train
700,700,2008_001430,2.830778,train
1321,1321,2008_002679,2.8308720000000003,train
377,377,2008_000765,2.831048,train
5542,5542,2009_002352,2.831318,train
3150,3150,2008_006364,2.831404,train
2098,2098,2008_004259,2.8316830000000004,train
9522,9522,2010_004959,2.831726,train
6589,6589,2009_004392,2.831967,train
8921,8921,2010_003758,2.833031,train
4486,4486,2009_000303,2.833476,train
3127,3127,2008_006320,2.833806,train
4005,4005,2008_008105,2.834096,train
859,859,2008_001741,2.834664,train
6819,6819,2009_004855,2.835017,train
11299,11299,2011_002715,2.835114,train
10995,10995,2011_002012,2.8352310000000003,train
1703,1703,2008_003461,2.835301,train
7577,7577,2010_001054,2.8357240000000004,train
2442,2442,2008_004934,2.8362580000000004,train
4168,4168,2008_008435,2.836532,train
2538,2538,2008_005133,2.836852,train
9773,9773,2010_005456,2.837156,train
8015,8015,2010_001937,2.837244,train
620,620,2008_001262,2.837341,train
3272,3272,2008_006621,2.837388,train
990,990,2008_002001,2.837419,train
522,522,2008_001057,2.837546,train
9451,9451,2010_004817,2.83779,train
2183,2183,2008_004425,2.838913,train
6376,6376,2009_003982,2.839155,train
5832,5832,2009_002917,2.839223,train
7561,7561,2010_001017,2.839348,train
10359,10359,2011_000565,2.839348,train
5938,5938,2009_003116,2.839631,train
1444,1444,2008_002926,2.839763,train
9573,9573,2010_005059,2.839956,train
5567,5567,2009_002400,2.839967,train
10333,10333,2011_000511,2.84,train
5100,5100,2009_001476,2.84,train
1319,1319,2008_002677,2.84,train
3534,3534,2008_007151,2.84,train
11107,11107,2011_002269,2.84,train
4326,4326,2008_008765,2.84,train
2710,2710,2008_005480,2.84,train
6884,6884,2009_004980,2.84,train
10266,10266,2011_000374,2.84,train
958,958,2008_001932,2.84,train
8852,8852,2010_003618,2.84,train
4714,4714,2009_000742,2.84,train
3022,3022,2008_006104,2.84,train
2666,2666,2008_005380,2.84,train
9448,9448,2010_004813,2.84,train
2143,2143,2008_004345,2.84,train
9587,9587,2010_005083,2.84,train
3012,3012,2008_006085,2.84,train
9924,9924,2010_005746,2.84,train
8606,8606,2010_003119,2.84,train
9304,9304,2010_004520,2.84,train
7559,7559,2010_001013,2.84,train
9574,9574,2010_005060,2.84,train
8114,8114,2010_002138,2.84,train
10344,10344,2011_000532,2.84,train
6753,6753,2009_004723,2.84,train
11071,11071,2011_002177,2.84,train
3191,3191,2008_006447,2.84,train
7653,7653,2010_001205,2.84,train
2054,2054,2008_004148,2.84,train
9707,9707,2010_005323,2.84,train
1436,1436,2008_002908,2.840558,train
4094,4094,2008_008292,2.841651,train
7453,7453,2010_000799,2.841919,train
11512,11512,2011_003213,2.8422970000000003,train
10121,10121,2011_000043,2.842853,train
1114,1114,2008_002248,2.843571,train
673,673,2008_001379,2.84377,train
7223,7223,2010_000342,2.844443,train
7104,7104,2010_000099,2.845154,train
2150,2150,2008_004361,2.845387,train
323,323,2008_000657,2.845868,train
836,836,2008_001699,2.846188,train
7550,7550,2010_000996,2.846271,train
933,933,2008_001876,2.846512,train
2099,2099,2008_004263,2.846643,train
11290,11290,2011_002685,2.846793,train
10175,10175,2011_000163,2.847355,train
2082,2082,2008_004221,2.847548,train
1485,1485,2008_003017,2.848298,train
3268,3268,2008_006614,2.848316,train
1056,1056,2008_002145,2.84852,train
11523,11523,2011_003244,2.848965,train
6226,6226,2009_003679,2.8494040000000003,train
406,406,2008_000825,2.849428,train
6666,6666,2009_004545,2.85,train
8209,8209,2010_002333,2.85,train
7144,7144,2010_000184,2.85,train
9272,9272,2010_004459,2.85,train
9603,9603,2010_005115,2.85,train
2788,2788,2008_005637,2.85,train
11249,11249,2011_002589,2.85,train
4917,4917,2009_001129,2.85,train
10674,10674,2011_001287,2.85,train
7361,7361,2010_000621,2.85,train
4823,4823,2009_000955,2.85,train
6843,6843,2009_004898,2.85,train
8518,8518,2010_002938,2.85,train
11537,11537,2011_003275,2.85,train
5908,5908,2009_003066,2.85,train
7061,7061,2010_000023,2.85,train
11001,11001,2011_002027,2.85,train
6071,6071,2009_003380,2.85,train
9816,9816,2010_005535,2.85,train
7472,7472,2010_000836,2.85,train
9268,9268,2010_004451,2.85,train
3838,3838,2008_007764,2.85,train
4318,4318,2008_008746,2.85,train
8759,8759,2010_003418,2.85,train
6150,6150,2009_003533,2.85,train
7773,7773,2010_001448,2.85,train
4692,4692,2009_000702,2.85,train
10043,10043,2010_005974,2.85,train
10577,10577,2011_001073,2.85,train
