,img,difficulty_score,split
79,2008_000176,3.936263,train
80,2008_000177,3.485005,train
81,2008_000181,3.083957,val
82,2008_000182,3.381015,val
83,2008_000183,3.3,train
84,2008_000185,3.087909,train
85,2008_000187,3.4336480000000003,train
86,2008_000188,3.5203580000000003,train
87,2008_000189,3.177797,test
88,2008_000190,4.126257,train
89,2008_000191,4.2,train
90,2008_000192,3.058894,train
91,2008_000193,3.409243,test
92,2008_000194,4.584605000000001,test
93,2008_000195,3.576278,train
94,2008_000196,6.023773,train
95,2008_000197,2.988696,test
96,2008_000199,3.880532,train
97,2008_000202,5.438214,val
98,2008_000203,4.226599,train
99,2008_000204,4.13279,val
100,2008_000207,3.115178,test
101,2008_000213,2.9866759999999997,test
102,2008_000215,3.072918,train
103,2008_000217,3.086219,train
104,2008_000219,3.518696,test
105,2008_000222,3.4563019999999995,test
106,2008_000223,3.278288,train
107,2008_000226,4.347273,test
108,2008_000227,3.203722,train
109,2008_000233,3.3738269999999995,train
110,2008_000234,3.322133,train
111,2008_000235,4.300725,train
112,2008_000236,3.7169,val
113,2008_000237,7.6,val
114,2008_000238,3.183919,val
115,2008_000239,4.5969739999999994,train
116,2008_000243,3.326392,val
117,2008_000244,3.3771949999999995,val
118,2008_000246,3.8063919999999998,train
119,2008_000251,3.6,val
120,2008_000252,4.024125,test
121,2008_000253,4.493933999999999,val
122,2008_000254,3.840205,train
123,2008_000255,4.592798999999999,train
124,2008_000257,5.290613,train
125,2008_000259,4.4935339999999995,test
126,2008_000260,3.321085,train
127,2008_000261,3.468516,val
128,2008_000262,4.0413120000000005,val
129,2008_000264,2.7920990000000003,train
130,2008_000266,3.316469,train
131,2008_000268,3.214876,val
132,2008_000270,3.058041,train
133,2008_000271,2.9105119999999998,test
134,2008_000272,3.467276,val
135,2008_000273,5.30887,train
136,2008_000274,4.895561,train
137,2008_000275,5.583839,train
138,2008_000277,3.3176129999999997,train
139,2008_000278,3.321814,train
140,2008_000281,4.768459,test
141,2008_000283,3.2,train
142,2008_000284,4.20975,val
143,2008_000287,3.5884910000000003,test
144,2008_000289,3.672799,train
145,2008_000290,3.2731630000000003,val
146,2008_000291,3.699643,train
147,2008_000297,4.127487,train
148,2008_000298,2.965314,train
149,2008_000304,3.496752,val
150,2008_000305,4.494221,train
151,2008_000306,3.5531370000000004,val
152,2008_000307,3.291814,train
153,2008_000309,4.56904,test
154,2008_000311,3.5667709999999997,test
155,2008_000313,3.3616980000000005,train
156,2008_000315,4.555071,train
157,2008_000316,3.174862,val
158,2008_000318,3.3045129999999996,val
159,2008_000321,6.924235,test
160,2008_000328,3.6843559999999997,test
161,2008_000330,3.966415,train
162,2008_000335,3.7336739999999997,train
163,2008_000336,3.130867,train
164,2008_000338,5.044925,train
165,2008_000339,2.867759,test
166,2008_000340,2.646506,test
167,2008_000342,4.476675,test
168,2008_000343,4.359622,train
169,2008_000345,3.542729,train
170,2008_000346,3.575989,train
171,2008_000348,4.796499,train
172,2008_000350,3.401496,train
173,2008_000354,3.75651,test
174,2008_000356,3.263852,train
175,2008_000358,2.872562,val
176,2008_000359,3.232486,test
177,2008_000361,3.020953,train
178,2008_000364,3.442546,test
179,2008_000365,3.4959589999999996,val
180,2008_000367,3.259873,test
181,2008_000371,4.204618,val
182,2008_000373,3.914225,val
183,2008_000376,2.8267740000000003,test
184,2008_000378,3.161917,train
185,2008_000380,3.5434339999999995,test
186,2008_000381,4.689422,train
187,2008_000382,3.114348,train
188,2008_000383,3.097897,train
189,2008_000391,3.03305,train
190,2008_000392,3.642847,train
191,2008_000393,3.7480900000000004,train
192,2008_000397,4.273079,val
193,2008_000398,3.6460660000000003,test
194,2008_000399,2.751186,test
195,2008_000400,3.372754,train
196,2008_000401,3.370371,train
197,2008_000403,3.039227,train
198,2008_000405,3.5270129999999997,train
199,2008_000406,3.418187,train
200,2008_000407,3.4091139999999998,val
201,2008_000408,3.3079959999999997,val
202,2008_000413,2.961057,train
203,2008_000414,3.567565,val
204,2008_000415,3.7795910000000004,val
205,2008_000416,3.4406160000000003,val
206,2008_000418,3.2984910000000003,train
207,2008_000419,3.165293,test
208,2008_000421,4.7465660000000005,test
209,2008_000422,3.0,train
210,2008_000423,3.8339769999999995,val
211,2008_000424,3.5153440000000002,test
212,2008_000426,3.185596,train
213,2008_000428,2.878427,test
214,2008_000432,3.193245,train
215,2008_000435,3.265085,test
216,2008_000436,3.2372080000000003,train
217,2008_000437,3.329448,val
218,2008_000442,3.13857,train
219,2008_000443,3.2596529999999997,train
220,2008_000445,3.039087,test
221,2008_000446,2.974049,val
222,2008_000447,4.0877349999999995,train
223,2008_000448,3.9043949999999996,train
224,2008_000452,2.916185,test
225,2008_000455,2.925767,val
226,2008_000457,3.386672,train
227,2008_000461,3.005982,train
228,2008_000464,2.718495,train
229,2008_000465,3.5129,test
230,2008_000466,3.6943449999999998,test
231,2008_000469,5.209708999999999,train
232,2008_000470,3.143728,test
233,2008_000471,4.759071,train
234,2008_000472,5.68074,train
235,2008_000473,4.292273000000001,train
236,2008_000474,3.49335,train
237,2008_000475,3.11858,test
238,2008_000480,3.561146,train
239,2008_000481,5.165837000000001,test
240,2008_000488,3.346954,train
241,2008_000489,4.274699,train
242,2008_000491,2.9519740000000003,train
243,2008_000492,2.934698,train
244,2008_000493,3.078807,test
245,2008_000495,4.656667,train
246,2008_000496,3.3510720000000003,train
247,2008_000498,3.4554400000000003,train
248,2008_000499,3.2536509999999996,test
249,2008_000501,3.865522,train
250,2008_000502,3.188757,train
251,2008_000505,3.579164,test
252,2008_000510,2.8615049999999997,train
253,2008_000511,2.866782,train
254,2008_000512,3.0969279999999997,test
255,2008_000514,2.996566,test
256,2008_000515,3.072858,train
257,2008_000516,3.941469,val
258,2008_000519,3.303353,test
259,2008_000522,3.187021,train
260,2008_000527,3.146776,test
261,2008_000531,3.4349309999999997,val
262,2008_000532,3.14965,train
263,2008_000533,2.825398,test
264,2008_000535,3.0535490000000003,train
265,2008_000536,2.8,test
266,2008_000540,3.151336,val
267,2008_000541,4.312461,train
268,2008_000544,3.1947959999999997,val
269,2008_000545,3.426855,train
270,2008_000547,3.0397529999999997,val
271,2008_000548,3.1572259999999996,val
272,2008_000552,3.051863,train
273,2008_000553,3.1,train
274,2008_000558,3.53226,train
275,2008_000559,3.343606,train
276,2008_000561,3.025918,train
277,2008_000562,4.434976,val
278,2008_000563,3.2316529999999997,train
279,2008_000564,4.259482,train
280,2008_000566,3.963178,train
281,2008_000567,3.018222,train
282,2008_000568,2.962501,train
283,2008_000569,3.3324019999999996,test
284,2008_000572,3.199955,test
285,2008_000573,3.448579,train
286,2008_000578,4.9533,val
287,2008_000579,2.9241330000000003,train
288,2008_000581,3.025187,val
289,2008_000583,4.518688,val
290,2008_000584,3.712157,train
291,2008_000585,3.862999,train
292,2008_000588,3.5,train
293,2008_000589,3.204164,train
294,2008_000595,3.4,val
295,2008_000599,3.3540019999999995,train
296,2008_000602,2.9713220000000002,train
297,2008_000605,3.17061,train
298,2008_000607,3.1992529999999997,val
299,2008_000609,3.327438,test
300,2008_000613,3.7,val
301,2008_000614,3.092597,val
302,2008_000615,3.050157,val
303,2008_000619,3.497751,test
304,2008_000620,3.4,test
305,2008_000622,3.3595660000000005,test
306,2008_000623,2.613413,test
307,2008_000626,3.613403,val
308,2008_000628,2.8868720000000003,test
309,2008_000629,3.206484,train
310,2008_000630,3.409415,train
311,2008_000634,3.0729290000000002,val
312,2008_000636,3.396132,train
313,2008_000640,3.0094369999999997,test
314,2008_000641,4.669093,train
315,2008_000645,2.882904,test
316,2008_000646,3.012696,val
317,2008_000647,3.258439,val
318,2008_000648,3.9748650000000003,test
319,2008_000650,2.7021450000000002,train
320,2008_000652,3.0,test
321,2008_000655,2.9,train
322,2008_000656,3.45,val
323,2008_000657,2.845868,train
324,2008_000659,3.2202740000000003,train
325,2008_000660,3.1,train
326,2008_000661,3.037945,val
327,2008_000662,3.2,train
328,2008_000666,2.801531,test
329,2008_000669,3.234739,train
330,2008_000670,2.884268,val
331,2008_000672,2.82517,train
332,2008_000673,3.1,train
333,2008_000674,2.9,val
334,2008_000676,2.97735,val
335,2008_000677,3.0386919999999997,val
336,2008_000678,2.8,train
337,2008_000683,3.150587,test
338,2008_000689,3.2905519999999995,train
339,2008_000690,5.64701,train
340,2008_000691,6.25,test
341,2008_000694,3.6,train
342,2008_000695,3.3224970000000003,test
343,2008_000696,3.060948,train
344,2008_000697,3.284302,train
345,2008_000699,3.313703,train
346,2008_000700,3.07321,train
347,2008_000703,3.2082349999999997,train
348,2008_000704,3.66793,train
349,2008_000705,4.279808999999999,train
350,2008_000706,3.598703,test
351,2008_000711,3.056172,train
352,2008_000714,3.283425,train
353,2008_000716,3.2934650000000003,train
354,2008_000719,4.518587,train
355,2008_000721,2.899873,val
356,2008_000723,3.1144939999999997,train
357,2008_000724,2.8,train
358,2008_000725,3.148675,train
359,2008_000726,2.8,test
360,2008_000727,3.3,train
361,2008_000729,2.8,train
362,2008_000731,2.9,train
363,2008_000732,3.156193,test
364,2008_000733,2.987542,train
365,2008_000734,3.145757,test
366,2008_000737,3.049665,train
367,2008_000740,3.067165,test
368,2008_000742,2.7,train
369,2008_000745,2.951284,val
370,2008_000748,3.081985,val
371,2008_000753,3.5,val
372,2008_000756,3.065075,test
373,2008_000758,3.188295,val
374,2008_000760,3.205381,train
375,2008_000761,3.284118,test
376,2008_000764,3.53119,train
377,2008_000765,2.831048,test
378,2008_000769,4.171131,test
379,2008_000775,3.044726,test
380,2008_000776,3.5,test
381,2008_000777,2.872799,val
382,2008_000778,3.108014,train
383,2008_000780,3.263161,test
384,2008_000782,2.812015,train
385,2008_000783,3.192602,test
386,2008_000785,2.910421,train
387,2008_000787,3.499192,train
388,2008_000788,2.963886,train
389,2008_000790,4.947521,train
390,2008_000792,4.072159,train
391,2008_000793,3.023991,val
392,2008_000795,3.4,test
393,2008_000796,2.953493,train
394,2008_000798,5.043035,train
395,2008_000801,4.210936,train
396,2008_000803,2.981335,test
397,2008_000804,3.0,val
398,2008_000805,3.0,train
399,2008_000806,4.57911,test
400,2008_000808,2.794094,val
401,2008_000811,3.6889160000000003,train
402,2008_000814,3.2009689999999997,val
403,2008_000815,3.751437,train
404,2008_000817,3.9647120000000005,train
405,2008_000824,3.131634,train
406,2008_000825,2.849428,train
407,2008_000828,3.050266,val
408,2008_000829,3.216752,train
409,2008_000832,2.625206,val
410,2008_000833,4.348201,test
411,2008_000834,3.3418699999999997,test
412,2008_000835,3.4030379999999996,val
413,2008_000837,3.608713,val
414,2008_000839,2.47,train
415,2008_000841,3.085451,val
416,2008_000842,5.0033900000000004,train
417,2008_000844,3.01562,train
418,2008_000847,3.436801,test
419,2008_000848,3.09876,val
420,2008_000851,4.19508,train
421,2008_000853,4.080628,train
422,2008_000854,3.023438,train
423,2008_000857,5.753344,test
424,2008_000858,2.774334,test
425,2008_000860,3.227563,test
426,2008_000861,3.130313,train
427,2008_000863,3.642229,val
428,2008_000864,3.5987440000000004,test
429,2008_000867,3.574929,train
430,2008_000868,6.107151999999999,test
431,2008_000870,5.3732169999999995,train
432,2008_000873,3.3009410000000003,val
433,2008_000875,3.148749,train
434,2008_000876,6.926617,train
435,2008_000878,3.141832,val
436,2008_000880,3.3,train
437,2008_000881,3.2838589999999996,train
438,2008_000883,4.412239,test
439,2008_000884,4.049328,test
440,2008_000885,3.969014,train
441,2008_000887,2.8744389999999997,test
442,2008_000897,3.2913959999999998,val
443,2008_000899,2.9611259999999997,train
444,2008_000901,2.870664,val
445,2008_000902,3.233473,train
446,2008_000904,3.968626,train
447,2008_000905,3.313021,test
448,2008_000908,2.951483,train
449,2008_000910,3.412725,train
450,2008_000911,3.9075839999999995,test
451,2008_000912,2.7,train
452,2008_000914,3.9207870000000002,train
453,2008_000915,5.759098000000001,test
454,2008_000916,3.1411,test
455,2008_000917,3.46631,train
456,2008_000919,3.4241989999999998,test
457,2008_000922,3.3979489999999997,train
458,2008_000923,5.928007,test
459,2008_000924,2.899235,test
460,2008_000928,3.5914410000000005,train
461,2008_000931,2.998807,train
462,2008_000934,3.083369,train
463,2008_000936,4.190443,val
464,2008_000939,3.5207379999999997,train
465,2008_000940,2.8166900000000004,train
466,2008_000941,3.4,train
467,2008_000942,3.217083,test
468,2008_000943,3.029678,train
469,2008_000944,3.810767,val
470,2008_000950,3.538163,test
471,2008_000952,3.289903,train
472,2008_000953,4.982355,val
473,2008_000956,3.6384800000000004,train
474,2008_000957,3.268646,train
475,2008_000959,3.699274,test
476,2008_000960,2.891473,val
477,2008_000964,6.006206,train
478,2008_000965,3.0777959999999998,train
479,2008_000970,3.7102199999999996,test
480,2008_000971,3.522015,val
481,2008_000972,2.9,val
482,2008_000973,2.8716939999999997,val
483,2008_000976,4.57695,test
484,2008_000979,3.154074,val
485,2008_000981,5.989028,val
486,2008_000982,3.8052550000000003,train
487,2008_000984,3.164171,val
488,2008_000985,2.822279,val
489,2008_000987,3.52144,train
490,2008_000992,3.3889160000000005,val
491,2008_000993,3.026744,val
492,2008_000999,3.039631,train
493,2008_001004,3.329429,val
494,2008_001007,3.4984870000000003,test
495,2008_001009,3.224788,val
496,2008_001012,2.914403,val
497,2008_001013,3.8623410000000002,test
498,2008_001018,5.560061,train
499,2008_001020,3.184025,val
500,2008_001021,3.3054230000000002,val
501,2008_001022,2.928687,train
502,2008_001023,3.2,train
503,2008_001024,3.64402,val
504,2008_001026,2.661771,train
505,2008_001028,2.907043,val
506,2008_001030,4.2365379999999995,train
507,2008_001031,3.5370790000000003,train
508,2008_001034,3.441131,train
509,2008_001035,3.2,train
510,2008_001036,2.7,val
511,2008_001039,3.2148790000000003,train
512,2008_001040,3.033481,test
513,2008_001041,3.176903,train
514,2008_001042,3.067243,test
515,2008_001046,3.8449989999999996,train
516,2008_001047,3.525614,train
517,2008_001048,3.3501540000000003,test
518,2008_001052,3.493979,val
519,2008_001054,3.254784,train
520,2008_001055,3.050834,val
521,2008_001056,4.11586,train
522,2008_001057,2.837546,train
523,2008_001060,3.3186139999999997,train
524,2008_001062,3.629144,val
525,2008_001063,3.236268,train
526,2008_001066,3.204751,train
527,2008_001068,3.61425,train
528,2008_001070,3.319436,test
529,2008_001071,2.8,val
530,2008_001073,4.181563,train
531,2008_001074,3.210656,val
532,2008_001075,2.935182,train
533,2008_001076,3.3,val
534,2008_001077,3.814656,val
535,2008_001078,3.321249,test
536,2008_001080,3.802261,val
537,2008_001081,3.05539,val
538,2008_001083,3.5,train
539,2008_001089,3.054144,train
540,2008_001090,3.5620279999999998,train
541,2008_001092,3.4459480000000005,test
542,2008_001098,2.9,test
543,2008_001099,3.3,test
544,2008_001104,3.763637,val
545,2008_001105,3.0387869999999997,train
546,2008_001106,3.697186,train
547,2008_001111,3.1683939999999997,val
548,2008_001112,3.4962720000000003,train
549,2008_001113,3.014109,train
550,2008_001114,3.3,train
551,2008_001115,3.768555,test
552,2008_001118,3.4163589999999995,test
553,2008_001119,8.168096,test
554,2008_001120,3.062194,train
555,2008_001121,2.774357,train
556,2008_001122,3.328439,train
557,2008_001130,4.022867,test
558,2008_001133,3.4020089999999996,test
559,2008_001134,2.8,train
560,2008_001135,3.6,val
561,2008_001136,3.774524,val
562,2008_001137,3.166554,val
563,2008_001139,3.2631259999999997,val
564,2008_001140,6.43357,train
565,2008_001142,6.9364,train
566,2008_001143,3.358653,train
567,2008_001147,3.028406,train
568,2008_001150,3.851426,train
569,2008_001154,2.6,val
570,2008_001155,3.698607,test
571,2008_001158,3.4903690000000003,val
572,2008_001159,4.1139529999999995,train
573,2008_001160,2.873026,train
574,2008_001161,4.877837,train
575,2008_001164,3.0646459999999998,train
576,2008_001166,2.958282,train
577,2008_001167,3.4868940000000004,val
578,2008_001168,3.346132,train
579,2008_001169,3.025847,val
580,2008_001170,3.0487610000000003,val
581,2008_001171,4.702791,train
582,2008_001177,3.597654,val
583,2008_001182,3.3594769999999996,val
584,2008_001183,3.319891,val
585,2008_001185,2.94813,test
586,2008_001188,3.007109,test
587,2008_001189,3.411377,test
588,2008_001190,3.047441,train
589,2008_001192,3.0959689999999997,val
590,2008_001194,2.6,val
591,2008_001196,4.327173,val
592,2008_001199,3.740738,val
593,2008_001202,3.6152309999999996,train
594,2008_001203,6.62,train
595,2008_001205,3.070553,train
596,2008_001206,2.991181,train
597,2008_001208,4.0714559999999995,train
598,2008_001210,3.013018,train
599,2008_001215,3.288353,test
600,2008_001218,3.198632,val
601,2008_001219,3.621289,test
602,2008_001220,3.158377,train
603,2008_001221,3.2632790000000003,val
604,2008_001223,3.932518,train
605,2008_001225,3.0352349999999997,test
606,2008_001226,3.859917,val
607,2008_001227,3.110694,train
608,2008_001230,3.2991900000000003,train
609,2008_001231,2.8183990000000003,train
610,2008_001235,3.105208,test
611,2008_001236,4.576208,test
612,2008_001238,3.126115,test
613,2008_001241,3.0,test
614,2008_001245,2.8,train
615,2008_001248,2.991402,test
616,2008_001249,3.076119,test
617,2008_001255,2.756785,test
618,2008_001257,3.238009,test
619,2008_001260,3.103062,train
620,2008_001262,2.837341,train
621,2008_001263,3.525407,test
622,2008_001264,3.094927,test
623,2008_001267,3.0,test
624,2008_001271,2.9,test
625,2008_001272,3.506343,test
626,2008_001274,2.89602,val
627,2008_001275,2.5865419999999997,test
628,2008_001278,3.5127410000000006,val
629,2008_001283,3.159806,test
630,2008_001284,2.6636830000000002,val
631,2008_001285,2.9282779999999997,train
632,2008_001290,2.77874,test
633,2008_001294,4.8,train
634,2008_001296,2.807306,val
635,2008_001299,3.004421,test
636,2008_001301,3.162871,test
637,2008_001302,3.0739259999999997,test
638,2008_001304,3.219213,val
639,2008_001306,2.974601,train
640,2008_001307,5.81,test
641,2008_001308,3.5812480000000004,train
642,2008_001310,3.106758,val
643,2008_001312,3.4789440000000003,train
644,2008_001314,3.129301,train
645,2008_001318,3.0960509999999997,val
646,2008_001320,3.255027,val
647,2008_001322,3.082248,test
648,2008_001325,2.8911279999999997,train
649,2008_001329,3.2277080000000002,train
650,2008_001333,4.5528889999999995,train
651,2008_001334,3.9292910000000005,val
652,2008_001335,2.7371540000000003,test
653,2008_001336,2.943837,val
654,2008_001338,5.18237,val
655,2008_001340,3.185568,train
656,2008_001344,3.158862,val
657,2008_001346,3.130923,train
658,2008_001349,3.2,val
659,2008_001350,3.044447,test
660,2008_001351,3.161447,train
661,2008_001353,3.02947,train
662,2008_001356,3.266872,train
663,2008_001357,3.2849470000000003,train
664,2008_001358,3.207468,test
665,2008_001359,3.464543,val
666,2008_001366,3.187805,train
667,2008_001367,3.115809,train
668,2008_001369,2.917018,train
669,2008_001373,3.1,train
670,2008_001374,2.8175830000000004,test
671,2008_001375,3.3319400000000003,test
672,2008_001376,3.875267,train
673,2008_001379,2.84377,train
674,2008_001380,2.982987,test
675,2008_001382,3.083164,val
676,2008_001383,3.0065560000000002,train
677,2008_001385,3.554476,val
678,2008_001387,2.828865,train
679,2008_001388,2.956346,train
680,2008_001389,3.315132,train
681,2008_001390,5.803755000000001,test
682,2008_001391,3.2162349999999997,train
683,2008_001395,2.9,train
684,2008_001399,3.388675,train
685,2008_001401,3.716047,test
686,2008_001402,3.1794729999999998,train
687,2008_001404,3.255249,val
688,2008_001405,3.037451,train
689,2008_001406,2.933948,train
690,2008_001408,2.6484669999999997,test
691,2008_001410,3.133459,train
692,2008_001413,2.9217619999999997,test
693,2008_001414,3.00838,val
694,2008_001415,3.30505,test
695,2008_001419,3.066735,test
696,2008_001420,4.523758,train
697,2008_001427,3.698004,test
698,2008_001428,2.951206,val
699,2008_001429,4.009525,test
700,2008_001430,2.830778,val
701,2008_001431,3.9226419999999997,test
702,2008_001432,3.6,train
703,2008_001433,3.046984,test
704,2008_001434,3.7476510000000003,train
705,2008_001436,2.95985,val
706,2008_001437,3.192196,train
707,2008_001439,2.6633970000000002,val
708,2008_001440,3.387221,train
709,2008_001444,3.570318,test
710,2008_001445,3.5,val
711,2008_001446,3.0852939999999998,test
712,2008_001448,3.075345,test
713,2008_001451,3.944983,val
714,2008_001454,2.809482,test
715,2008_001455,3.1,train
716,2008_001456,2.955062,train
717,2008_001460,2.9,test
718,2008_001461,3.9789120000000002,val
719,2008_001462,3.114753,train
720,2008_001464,3.262676,val
721,2008_001466,3.218825,test
722,2008_001467,3.793729,train
723,2008_001468,3.463032,train
724,2008_001470,3.235761,val
725,2008_001475,2.7647630000000003,val
726,2008_001478,3.058739,test
727,2008_001479,2.948092,train
728,2008_001481,3.4045080000000003,train
729,2008_001482,3.156925,val
730,2008_001486,3.9,test
731,2008_001488,3.093635,train
732,2008_001491,3.4,train
733,2008_001493,3.3,train
734,2008_001494,3.1,val
735,2008_001495,3.057193,val
736,2008_001498,3.2,test
737,2008_001500,4.462878,val
738,2008_001501,2.88257,train
739,2008_001503,3.913907,train
740,2008_001504,3.166286,test
741,2008_001510,3.2,val
742,2008_001513,3.7071989999999997,train
743,2008_001514,2.8,train
744,2008_001516,4.2,test
745,2008_001520,2.7583740000000003,val
746,2008_001522,3.719274,train
747,2008_001523,3.4696949999999998,test
748,2008_001525,3.9659160000000004,train
749,2008_001527,3.3,val
750,2008_001529,4.5,val
751,2008_001531,3.261105,train
752,2008_001533,3.20437,train
753,2008_001534,3.223213,test
754,2008_001536,3.242491,test
755,2008_001538,3.3,train
756,2008_001539,3.3,test
757,2008_001540,4.17824,val
758,2008_001541,5.0,test
759,2008_001542,4.019284,val
760,2008_001543,3.8605199999999997,train
761,2008_001544,3.188193,val
762,2008_001546,2.65,val
763,2008_001547,3.0,val
764,2008_001549,3.134302,train
765,2008_001550,3.6,val
766,2008_001551,2.73818,train
767,2008_001553,3.3762769999999995,val
768,2008_001563,2.896,train
769,2008_001564,3.4049449999999997,train
770,2008_001566,4.8,test
771,2008_001574,3.75,val
772,2008_001575,3.2847480000000004,train
773,2008_001576,3.623239,test
774,2008_001577,3.405933,train
775,2008_001580,3.6864239999999997,val
776,2008_001582,2.805391,train
777,2008_001586,3.4163699999999997,val
778,2008_001589,3.056136,train
779,2008_001590,3.5689900000000003,train
780,2008_001591,3.4042779999999997,train
781,2008_001592,3.074707,val
782,2008_001593,3.1,val
783,2008_001594,5.398169,val
784,2008_001596,3.494907,train
785,2008_001598,3.296239,test
786,2008_001601,3.0,train
787,2008_001602,4.115792,val
788,2008_001605,3.41034,val
789,2008_001607,3.025939,test
790,2008_001609,3.1274889999999997,test
791,2008_001610,3.259954,test
792,2008_001613,6.079336,train
793,2008_001615,3.0529490000000004,val
794,2008_001617,3.7300809999999998,train
795,2008_001619,3.3657449999999995,test
796,2008_001620,3.5,test
797,2008_001622,3.1298,val
798,2008_001624,4.2275529999999995,train
799,2008_001625,3.448428,test
800,2008_001626,3.109738,val
801,2008_001629,3.022525,test
802,2008_001631,3.7,train
803,2008_001632,2.585907,test
804,2008_001636,3.4,test
805,2008_001638,4.4,train
806,2008_001640,3.046064,test
807,2008_001641,3.896031,val
808,2008_001643,3.4,test
809,2008_001645,3.215564,train
810,2008_001648,2.825263,train
811,2008_001649,3.3997370000000005,val
812,2008_001652,3.3497760000000003,train
813,2008_001653,3.050624,train
814,2008_001655,3.031389,train
815,2008_001659,2.8,train
816,2008_001660,3.1,test
817,2008_001661,3.2719270000000003,train
818,2008_001663,4.610316,test
819,2008_001666,3.985357,train
820,2008_001667,3.06,train
821,2008_001668,2.776563,val
822,2008_001669,3.1616169999999997,train
823,2008_001670,3.1216169999999996,test
824,2008_001673,3.432482,train
825,2008_001676,2.766586,test
826,2008_001679,2.7,test
827,2008_001680,3.234803,test
828,2008_001681,3.460405,train
829,2008_001682,3.138676,train
830,2008_001688,4.264212000000001,val
831,2008_001690,3.933795,val
832,2008_001691,2.75,train
833,2008_001692,3.1592740000000004,train
834,2008_001694,3.282004,test
835,2008_001697,3.6248150000000003,train
836,2008_001699,2.846188,train
837,2008_001702,3.261695,test
838,2008_001704,2.753057,val
839,2008_001706,6.690728999999999,val
840,2008_001708,2.931451,train
841,2008_001709,3.188877,train
842,2008_001710,3.59,train
843,2008_001712,3.5014260000000004,train
844,2008_001714,2.975857,train
845,2008_001715,2.662824,train
846,2008_001716,3.107201,train
847,2008_001717,4.6,train
848,2008_001719,2.74,test
849,2008_001722,3.315863,val
850,2008_001723,4.245023000000001,train
851,2008_001724,2.81,test
852,2008_001727,3.03903,val
853,2008_001729,3.3982120000000005,train
854,2008_001730,2.87,test
855,2008_001731,3.261176,train
856,2008_001735,2.9598139999999997,train
857,2008_001736,2.9434970000000003,test
858,2008_001737,3.34,test
859,2008_001741,2.834664,train
860,2008_001742,2.892849,train
861,2008_001744,2.887843,test
862,2008_001745,3.233376,val
863,2008_001746,3.3551800000000003,test
864,2008_001750,3.256314,val
865,2008_001751,3.86,train
866,2008_001757,4.613484,train
867,2008_001758,3.85,test
868,2008_001761,2.891424,train
869,2008_001763,3.43,train
870,2008_001764,3.185147,train
871,2008_001765,3.3494089999999996,train
872,2008_001769,2.898384,val
873,2008_001770,2.94,test
874,2008_001772,4.197259,val
875,2008_001773,4.588513,val
876,2008_001774,2.607523,val
877,2008_001775,3.007278,test
878,2008_001781,3.5526839999999997,train
879,2008_001782,2.75493,test
880,2008_001783,2.947582,train
881,2008_001784,3.349395,test
